20230619.dat
         5.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  35.00  0.00 55.00  0.00 105.00  0.00 125.00  0.00 -0.15866 
4  35.00  0.00 55.00  0.00 125.00  0.00 145.00  0.00 -0.12956 
4  35.00  0.00 55.00  0.00 145.00  0.00 110.00  0.00 0.27860 
4  35.00  0.00 55.00  0.00 110.00  0.00 130.00  0.00 -0.17650 
4  35.00  0.00 55.00  0.00 130.00  0.00 150.00  0.00 -0.09231 
4  35.00  0.00 55.00  0.00 150.00  0.00 115.00  0.00 0.19593 
4  35.00  0.00 55.00  0.00 115.00  0.00 135.00  0.00 -0.17333 
4  35.00  0.00 55.00  0.00 135.00  0.00 155.00  0.00 -0.04535 
4  35.00  0.00 55.00  0.00 155.00  0.00 120.00  0.00 0.17328 
4  35.00  0.00 55.00  0.00 120.00  0.00 140.00  0.00 -0.13287 
4  35.00  0.00 55.00  0.00 140.00  0.00 160.00  0.00 -0.04802 
4  40.00  0.00 45.00  0.00 85.00  0.00 90.00  0.00 0.00396 
4  40.00  0.00 45.00  0.00 50.00  0.00 55.00  0.00 -1.39324 
4  40.00  0.00 45.00  0.00 55.00  0.00 60.00  0.00 -0.56306 
4  40.00  0.00 45.00  0.00 60.00  0.00 65.00  0.00 -0.19396 
4  40.00  0.00 45.00  0.00 65.00  0.00 70.00  0.00 -0.05850 
4  40.00  0.00 45.00  0.00 70.00  0.00 75.00  0.00 -0.03583 
4  40.00  0.00 45.00  0.00 75.00  0.00 80.00  0.00 -0.01610 
4  40.00  0.00 45.00  0.00 80.00  0.00 85.00  0.00 -0.01381 
4  40.00  0.00 50.00  0.00 70.00  0.00 80.00  0.00 -0.13958 
4  40.00  0.00 50.00  0.00 80.00  0.00 90.00  0.00 -0.06383 
4  40.00  0.00 50.00  0.00 90.00  0.00 100.00  0.00 -0.12967 
4  40.00  0.00 50.00  0.00 100.00  0.00 110.00  0.00 0.30313 
4  40.00  0.00 50.00  0.00 110.00  0.00 75.00  0.00 -0.07579 
4  40.00  0.00 50.00  0.00 75.00  0.00 85.00  0.00 -0.09772 
4  40.00  0.00 50.00  0.00 85.00  0.00 95.00  0.00 -0.07581 
4  40.00  0.00 50.00  0.00 95.00  0.00 105.00  0.00 -0.04987 
4  40.00  0.00 50.00  0.00 105.00  0.00 115.00  0.00 -0.03391 
4  40.00  0.00 55.00  0.00 90.00  0.00 105.00  0.00 -0.30591 
4  40.00  0.00 55.00  0.00 105.00  0.00 120.00  0.00 -0.11763 
4  40.00  0.00 55.00  0.00 120.00  0.00 135.00  0.00 -0.10880 
4  40.00  0.00 55.00  0.00 135.00  0.00 95.00  0.00 0.34751 
4  40.00  0.00 55.00  0.00 95.00  0.00 110.00  0.00 -0.10436 
4  40.00  0.00 55.00  0.00 110.00  0.00 125.00  0.00 -0.15741 
4  40.00  0.00 55.00  0.00 125.00  0.00 140.00  0.00 -0.09023 
4  40.00  0.00 55.00  0.00 140.00  0.00 100.00  0.00 0.26358 
4  40.00  0.00 55.00  0.00 100.00  0.00 115.00  0.00 -0.11143 
4  40.00  0.00 55.00  0.00 115.00  0.00 130.00  0.00 -0.09026 
4  40.00  0.00 60.00  0.00 110.00  0.00 130.00  0.00 -0.24478 
4  40.00  0.00 60.00  0.00 130.00  0.00 150.00  0.00 -0.16454 
4  40.00  0.00 60.00  0.00 150.00  0.00 115.00  0.00 0.33645 
4  40.00  0.00 60.00  0.00 115.00  0.00 135.00  0.00 -0.22465 
4  40.00  0.00 60.00  0.00 135.00  0.00 155.00  0.00 -0.11767 
