Roudabout_allinone_22_06_2023.bin
         1.00
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  6.00  0.00 10.00  0.00 28.00  0.00 21.00  0.00 0.07600 
4  6.00  0.00 10.00  0.00 21.00  0.00 25.00  0.00 -0.05214 
4  6.00  0.00 10.00  0.00 25.00  0.00 29.00  0.00 -0.02970 
4  6.00  0.00 10.00  0.00 29.00  0.00 22.00  0.00 0.05111 
4  6.00  0.00 10.00  0.00 22.00  0.00 26.00  0.00 -0.02902 
4  6.00  0.00 10.00  0.00 26.00  0.00 30.00  0.00 -0.02763 
4  6.00  0.00 10.00  0.00 30.00  0.00 23.00  0.00 0.03350 
4  6.00  0.00 10.00  0.00 23.00  0.00 27.00  0.00 -0.01417 
4  6.00  0.00 10.00  0.00 27.00  0.00 31.00  0.00 -0.02414 
4  7.00  0.00 8.00  0.00 16.00  0.00 17.00  0.00 -0.02132 
4  7.00  0.00 8.00  0.00 9.00  0.00 10.00  0.00 -3.39501 
4  7.00  0.00 8.00  0.00 10.00  0.00 11.00  0.00 -0.62991 
4  7.00  0.00 8.00  0.00 11.00  0.00 12.00  0.00 -0.22214 
4  7.00  0.00 8.00  0.00 12.00  0.00 13.00  0.00 -0.11192 
4  7.00  0.00 8.00  0.00 13.00  0.00 14.00  0.00 -0.04797 
4  7.00  0.00 8.00  0.00 14.00  0.00 15.00  0.00 -0.02887 
4  7.00  0.00 8.00  0.00 15.00  0.00 16.00  0.00 -0.01777 
4  7.00  0.00 9.00  0.00 13.00  0.00 15.00  0.00 -0.16851 
4  7.00  0.00 9.00  0.00 15.00  0.00 17.00  0.00 -0.07176 
4  7.00  0.00 9.00  0.00 17.00  0.00 19.00  0.00 -0.05049 
4  7.00  0.00 9.00  0.00 19.00  0.00 21.00  0.00 -0.02753 
4  7.00  0.00 9.00  0.00 21.00  0.00 14.00  0.00 0.20944 
4  7.00  0.00 9.00  0.00 14.00  0.00 16.00  0.00 -0.09011 
4  7.00  0.00 9.00  0.00 16.00  0.00 18.00  0.00 -0.06928 
4  7.00  0.00 9.00  0.00 18.00  0.00 20.00  0.00 -0.03755 
4  7.00  0.00 9.00  0.00 20.00  0.00 22.00  0.00 -0.02253 
4  7.00  0.00 10.00  0.00 17.00  0.00 20.00  0.00 -0.11048 
4  7.00  0.00 10.00  0.00 20.00  0.00 23.00  0.00 -0.04779 
4  7.00  0.00 10.00  0.00 23.00  0.00 26.00  0.00 -0.02433 
4  7.00  0.00 10.00  0.00 26.00  0.00 18.00  0.00 0.13396 
4  7.00  0.00 10.00  0.00 18.00  0.00 21.00  0.00 -0.07979 
4  7.00  0.00 10.00  0.00 21.00  0.00 24.00  0.00 -0.03584 
4  7.00  0.00 10.00  0.00 24.00  0.00 27.00  0.00 -0.01963 
4  7.00  0.00 10.00  0.00 27.00  0.00 19.00  0.00 0.10284 
4  7.00  0.00 10.00  0.00 19.00  0.00 22.00  0.00 -0.06144 
