Roudabout20_06_2023_modifiedspacing2.5.bin
         2.50
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3408
 2
0
4  17.50  0.00 25.00  0.00 42.50  0.00 50.00  0.00 -0.11779 
4  17.50  0.00 25.00  0.00 50.00  0.00 57.50  0.00 -0.06028 
4  17.50  0.00 25.00  0.00 57.50  0.00 65.00  0.00 -0.04058 
4  17.50  0.00 25.00  0.00 65.00  0.00 45.00  0.00 0.17222 
4  17.50  0.00 25.00  0.00 45.00  0.00 52.50  0.00 -0.09480 
4  17.50  0.00 25.00  0.00 52.50  0.00 60.00  0.00 -0.05091 
4  17.50  0.00 25.00  0.00 60.00  0.00 67.50  0.00 -0.03590 
4  17.50  0.00 25.00  0.00 67.50  0.00 47.50  0.00 0.14202 
4  17.50  0.00 25.00  0.00 47.50  0.00 55.00  0.00 -0.07373 
4  17.50  0.00 25.00  0.00 55.00  0.00 62.50  0.00 -0.04684 
4  17.50  0.00 27.50  0.00 52.50  0.00 62.50  0.00 -0.09478 
4  17.50  0.00 27.50  0.00 62.50  0.00 72.50  0.00 -0.05577 
4  17.50  0.00 27.50  0.00 72.50  0.00 55.00  0.00 0.12223 
4  17.50  0.00 27.50  0.00 55.00  0.00 65.00  0.00 -0.08437 
4  17.50  0.00 27.50  0.00 65.00  0.00 75.00  0.00 -0.04849 
4  17.50  0.00 27.50  0.00 75.00  0.00 57.50  0.00 0.10741 
4  17.50  0.00 27.50  0.00 57.50  0.00 67.50  0.00 -0.07373 
4  17.50  0.00 27.50  0.00 67.50  0.00 77.50  0.00 -0.04389 
4  17.50  0.00 27.50  0.00 77.50  0.00 60.00  0.00 0.09699 
4  17.50  0.00 27.50  0.00 60.00  0.00 70.00  0.00 -0.06696 
4  17.50  0.00 27.50  0.00 70.00  0.00 80.00  0.00 -0.03981 
4  20.00  0.00 22.50  0.00 42.50  0.00 45.00  0.00 -0.01473 
4  20.00  0.00 22.50  0.00 25.00  0.00 27.50  0.00 -2.03508 
